City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,porto novo,6.4965,2.6036,298.06,90,99,3.75,BJ,1686848827
224,cole harbour,44.6724,-63.4751,293.25,82,75,4.12,CA,1686848827
225,margate,51.3813,1.3862,293.64,76,51,0.45,GB,1686848827
226,altai,46.3722,96.2583,287.52,31,100,1.45,MN,1686848827
227,maturin,9.75,-63.1767,301.42,75,76,4.18,VE,1686848828
228,antofagasta,-23.65,-70.4,291.75,52,0,2.77,CL,1686848671
229,arraial do cabo,-22.9661,-42.0278,299.13,69,20,8.75,BR,1686848540
230,feltre,46.0235,11.907,298.07,79,36,0.45,IT,1686848828
231,tabora,-5.0167,32.8,298.2,39,73,1.84,TZ,1686848828
232,pemba,-12.974,40.5178,298.55,66,35,4.55,MZ,1686848829
233,viedma,-40.8135,-62.9967,288.83,34,100,4.56,AR,1686848829
234,muisne,0.6,-80.0333,300.38,78,93,3.77,EC,1686848830
235,conceicao da barra,-18.5933,-39.7322,300.11,60,13,3.27,BR,1686848830
236,fortuna,40.5982,-124.1573,289.22,79,20,5.14,US,1686848830
237,tsiombe,-25.3,45.4833,292.55,76,0,1.72,MG,1686848831
238,karlovo,42.6333,24.8,296.0,81,100,1.12,BG,1686848831
239,kodiak,57.79,-152.4072,279.88,93,100,10.8,US,1686848636
240,sangueya,10.7,-14.3667,301.06,78,100,2.89,GN,1686848832
241,porto velho,-8.7619,-63.9039,294.18,60,100,4.12,BR,1686848686
242,susuman,62.7833,148.1667,286.28,69,100,2.14,RU,1686848833
243,howrah,22.5892,88.3103,305.15,79,40,6.69,IN,1686848834
244,westport,41.1415,-73.3579,297.68,61,100,4.63,US,1686848834
245,walvis bay,-22.9575,14.5053,288.2,66,0,6.93,NA,1686848834
246,seminole,28.7086,-81.2081,307.6,61,0,7.72,US,1686848790
247,mao,39.8885,4.2658,298.46,65,20,3.09,ES,1686848835
248,tura,25.5198,90.2201,295.3,95,100,2.26,IN,1686848835
249,udachny,66.4167,112.4,283.43,63,100,7.65,RU,1686848835
250,la'ie,21.6477,-157.9253,299.13,84,34,5.56,US,1686848835
251,jalai nur,49.45,117.7,291.52,30,93,7.93,CN,1686848836
252,nyurba,63.2842,118.3319,278.84,73,41,3.03,RU,1686848836
253,mitu,1.1983,-70.1733,293.12,98,100,1.96,CO,1686848836
254,kavieng,-2.5744,150.7967,299.59,81,100,2.41,PG,1686848837
255,quellon,-43.1167,-73.6167,282.29,66,20,4.12,CL,1686848837
256,cullowhee,35.3137,-83.1765,301.61,60,0,0.0,US,1686848405
